Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,42997344700.00,United States,1999,445658,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,8641400714.00,,2016,2671735,Industrials,Metal Fabrications
AAC,Ares Acquisition Corporation Class A Ordinary Shares,1277500000.00,,2021,19204,Finance,Blank Checks
AACG,ATA Creativity Global American Depositary Shares,57733533.00,China,2008,48356,Consumer Discretionary,Service to the Health Industry
AACI,Armada Acquisition Corp. I Common Stock,208130475.00,United States,2021,14505,Industrials,Consumer Electronics/Appliances
AACIU,Armada Acquisition Corp. I Unit,0.00,United States,2021,1,Industrials,Consumer Electronics/Appliances
AACIW,Armada Acquisition Corp. I Warrant,0.00,United States,2021,1205,Industrials,Consumer Electronics/Appliances
AADI,Aadi Bioscience Inc. Common Stock,279324090.00,United States,,35842,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),85100034.00,United States,,33287,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00%,,United States,,127,,
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,,United States,,902,,
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,0.00,United States,,301,Finance,Finance/Investors Services
AAL,American Airlines Group Inc. Common Stock,10306111518.00,United States,,9634299,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,,United States,,978,,
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,,United States,,8043,,
AAMC,Altisource Asset Management Corp Com,71070428.00,United States,,4921,Finance,Investment Managers
AAME,Atlantic American Corporation Common Stock,51119708.00,United States,,1912,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,437390592.00,,2020,93175,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,80143123.00,United States,2013,90282,Technology,Semiconductors
AAON,AAON Inc. Common Stock,4162331775.00,United States,,48839,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,8657560445.00,United States,,392444,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2596960158600.00,United States,1980,21109040,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1564698608.00,United States,2011,26055,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,30518041.00,Canada,2015,178033,,
AAWW,Atlas Air Worldwide Holdings NEW Common Stock,2892722733.00,United States,,119002,Consumer Discretionary,Transportation Services
AB,AllianceBernstein Holding L.P.  Units,4534404710.00,United States,,118549,Finance,Investment Managers
ABB,ABB Ltd Common Stock,62850500000.00,Switzerland,,486726,Energy,Electrical Products
ABBV,AbbVie Inc. Common Stock,267507789258.00,United States,2012,2006415,Health Care,Other Pharmaceuticals
ABC,AmerisourceBergen Corporation Common Stock,32664697362.00,United States,,270904,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,3310291066.00,United States,1994,50898,Finance,Major Banks
ABCL,AbCellera Biologics Inc. Common Shares,2573473341.00,Canada,2020,1362824,Health Care,Pharmaceuticals and Biotechnology
ABCM,Abcam plc American Depositary Shares,3280880989.00,United Kingdom,2020,134046,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ABEO,Abeona Therapeutics Inc. Common Stock,40277249.00,United States,,54555,Health Care,Biotechnology: Pharmaceutical Preparations
ABEV,Ambev S.A. American Depositary Shares (Each representing 1 Common Share),40062714789.00,,2013,11581699,Consumer Staples,Beverages (Production/Distribution)
ABG,Asbury Automotive Group Inc Common Stock,4989012378.00,United States,2002,88800,Consumer Discretionary,Other Specialty Stores
ABGI,ABG Acquisition Corp. I Class A Ordinary Shares,196902022.00,United States,2021,64862,Finance,Blank Checks
ABIO,ARCA biopharma Inc. Common Stock,30549503.00,United States,,45659,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ABM,ABM Industries Incorporated Common Stock,3187205296.00,United States,,31388,Consumer Discretionary,Diversified Commercial Services
ABNB,Airbnb Inc. Class A Common Stock,77406627119.00,United States,2020,3101972,Consumer Discretionary,Hotels/Resorts
ABOS,Acumen Pharmaceuticals Inc. Common Stock,217722511.00,United States,2021,10961,Health Care,Biotechnology: Pharmaceutical Preparations
ABR,Arbor Realty Trust Common Stock,2625168576.00,United States,2004,1568179,Real Estate,Real Estate Investment Trusts
ABR^D,Arbor Realty Trust 6.375% Series D Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per Share,,United States,,11864,,
ABR^E,Arbor Realty Trust 6.25% Series E Cumulative Redeemable Preferred Stock,,United States,,2793,,
ABR^F,Arbor Realty Trust 6.25% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock Liquidation Preference $25.00 per share,,United States,,5017,,
ABSI,Absci Corporation Common Stock,226367527.00,United States,2021,233961,Health Care,Biotechnology: Pharmaceutical Preparations
ABST,Absolute Software Corporation Common Stock,474094746.00,Canada,2020,69929,,
ABT,Abbott Laboratories Common Stock,181528484037.00,United States,,1302553,Health Care,Medical/Dental Instruments
ABUS,Arbutus Biopharma Corporation Common Stock,432337500.00,Canada,,713503,Health Care,Pharmaceuticals and Biotechnology
ABVC,ABVC BioPharma Inc. Common Stock,24810360.00,United States,,195686,Health Care,Biotechnology: Pharmaceutical Preparations
AC,Associated Capital Group Inc. Common Stock,792730632.00,United States,2015,5061,Finance,Investment Bankers/Brokers/Service
ACA,Arcosa Inc. Common Stock ,2757897995.00,,2018,28403,Industrials,Engineering & Construction
ACAB,Atlantic Coastal Acquisition Corp. II Class A Common Stock,386250000.00,United States,2022,38,Industrials,Consumer Electronics/Appliances
ACABW,Atlantic Coastal Acquisition Corp. II Warrant,0.00,United States,2022,300,Industrials,Consumer Electronics/Appliances
ACAC,Acri Capital Acquisition Corporation Class A Common Stock,112340625.00,United States,2022,1121,Industrials,Consumer Electronics/Appliances
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,3037825447.00,United States,1985,248640,Health Care,Biotechnology: Pharmaceutical Preparations
ACAH,Atlantic Coastal Acquisition Corp. Class A Common Stock,436856250.00,United States,2021,210669,Industrials,Consumer Electronics/Appliances
ACAQ,Athena Consumer Acquisition Corp. Class A Common Stock,339360957.00,,2021,7,Industrials,Consumer Electronics/Appliances
ACAX,Alset Capital Acquisition Corp. Class A Common Stock,114688450.00,United States,2022,13559,Industrials,Consumer Electronics/Appliances
ACAXR,Alset Capital Acquisition Corp. Right,0.00,United States,2022,21083,Industrials,Consumer Electronics/Appliances
ACAXU,Alset Capital Acquisition Corp. Unit,0.00,United States,2022,1,Industrials,Consumer Electronics/Appliances
ACAXW,Alset Capital Acquisition Corp. Warrant,0.00,United States,2022,45,Industrials,Consumer Electronics/Appliances
ACB,Aurora Cannabis Inc. Common Shares,303410619.00,Canada,,2622130,Health Care,Pharmaceuticals and Biotechnology
ACBA,Ace Global Business Acquisition Limited Ordinary Shares,65323265.00,Hong Kong,2021,103,Consumer Discretionary,Business Services
ACBAU,Ace Global Business Acquisition Limited Unit,0.00,Hong Kong,2021,285,Consumer Discretionary,Business Services
ACBAW,Ace Global Business Acquisition Limited Warrant,0.00,Hong Kong,2021,36,Consumer Discretionary,Business Services
ACCD,Accolade Inc. Common Stock,818850904.00,United States,2020,165573,Technology,Interactive Media
ACCO,Acco Brands Corporation Common Stock,533611102.00,United States,,134337,Consumer Discretionary,Advertising
ACDC,ProFrac Holding Corp. Class A Common Stock,1066767334.00,United States,2022,181343,Industrials,Metal Fabrications
ACDCW,ProFrac Holding Corp. Warrant,0.00,United States,,2784,Industrials,Metal Fabrications
ACEL,Accel Entertainment Inc. ,797699751.00,United States,2017,27612,Consumer Discretionary,Recreational Games/Products/Toys
ACER,Acer Therapeutics Inc. Common Stock (DE),46351010.00,United States,,27157,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACET,Adicet Bio Inc. Common Stock ,156130929.00,United States,2018,151157,Health Care,Biotechnology: Pharmaceutical Preparations
ACGL,Arch Capital Group Ltd. Common Stock,24998354798.00,Bermuda,,482215,Finance,Property-Casualty Insurers
ACGLN,Arch Capital Group Ltd. Depositary Shares each Representing a 1/1000th Interest in a 4.550% Non-Cumulative Preferred Share Series G,0.00,Bermuda,,19810,Finance,Property-Casualty Insurers
ACGLO,Arch Capital Group Ltd. Depositary Shares Each Representing 1/1000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares Series F,0.00,Bermuda,,3070,Finance,Property-Casualty Insurers
ACGN,Aceragen Inc. Common Stock,42643758.00,United States,,945,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHC,Acadia Healthcare Company Inc. Common Stock,7365474684.00,United States,,67817,Health Care,Hospital/Nursing Management
ACHL,Achilles Therapeutics plc American Depositary Shares,45986512.00,United Kingdom,2021,14670,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ACHR,Archer Aviation Inc. Class A Common Stock,653246525.00,United States,2020,544722,Industrials,Aerospace
ACHV,Achieve Life Sciences Inc. Common Shares,97896749.00,United States,,26656,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
ACI,Albertsons Companies Inc. Class A Common Stock,11461675485.00,United States,2020,683378,Consumer Staples,Food Chains
ACIU,AC Immune SA Common Stock,190182775.00,Switzerland,2016,15350,Health Care,Biotechnology: Pharmaceutical Preparations
ACIW,ACI Worldwide Inc. Common Stock,2886329606.00,United States,,147648,Technology,EDP Services
ACLS,Axcelis Technologies Inc. Common Stock,3971346750.00,United States,2000,267099,Technology,Industrial Machinery/Components
ACLX,Arcellx Inc. Common Stock,1333820100.00,United States,2022,84124,Health Care,Biotechnology: Pharmaceutical Preparations
ACM,AECOM Common Stock,12277645150.00,United States,2007,257285,Consumer Discretionary,Military/Government/Technical
ACMR,ACM Research Inc. Class A Common Stock,723037576.00,United States,2017,271188,Technology,Industrial Machinery/Components
ACN,Accenture plc Class A Ordinary Shares (Ireland),169828321495.00,Ireland,2001,520919,Consumer Discretionary,Business Services
ACNB,ACNB Corporation Common Stock,327832120.00,United States,,968,Finance,Major Banks
ACNT,Ascent Industries Co. Common Stock,113755433.00,United States,,898,Industrials,Steel/Iron Ore
ACON,Aclarion Inc. Common Stock,6334645.00,United States,2022,11060,Technology,Retail: Computer Software & Peripheral Equipment
ACONW,Aclarion Inc. Warrant,0.00,United States,2022,301,Technology,Retail: Computer Software & Peripheral Equipment
ACOR,Acorda Therapeutics Inc. Common Stock,22390789.00,United States,2006,15579,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
